trip_id,arc_id,arc_sequence,geometry,stop_id,interval_weekdays_morning,interval_weekends_morning,interval_weekdays_evening,interval_weekends_evening,route_short_name,route_long_name,route_type,length,t0,stops_number,geometry_stops,stop_dist,stops_order,coef_distance,from_node_id,from_node_lng,from_node_lat,to_node_id,to_node_lng,to_node_lat
35263,2349798113541615675,43,"LINESTRING (37.50513091 55.86256209999999, 37.50491509 55.8625896, 37.50480047 55.862604039999994, 37.50471439 55.862620679999985, 37.50462563 55.862644889999984, 37.50455301 55.86266908999999, 37.5044841 55.86269821)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,43.76,5.3,1,,0.0,0,1.0,100000019,37.50513091,55.86256209999999,100000020,37.5044841,55.86269821
35263,2886288463644687715,44,"LINESTRING (37.5044841 55.86269821, 37.500877045203346 55.86445163435143)",112,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,849.33,33.96666666666667,3,POINT (37.50413371 55.86302215),0.0004709597546451652,1,0.3333333333333333,100000020,37.5044841,55.86269821,100000022,37.500877045203346,55.86445163435143
35263,2886288463644687715,44,"LINESTRING (37.4970726316227 55.865781912233565, 37.49316701 55.86674768999999)",114,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,849.33,101.9,3,POINT (37.49690351 55.86590354),0.008260692009554784,3,1.0,100000021,37.4970726316227,55.865781912233565,100000023,37.49316701,55.86674768999999
35263,2886288463644687715,44,"LINESTRING (37.500877045203346 55.86445163435143, 37.4970726316227 55.865781912233565)",113,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,849.33,67.93333333333334,3,POINT (37.50026617 55.86474198),0.004702644173685002,2,0.6666666666666666,100000022,37.500877045203346,55.86445163435143,100000021,37.4970726316227,55.865781912233565
35263,2928636382444331078,45,"LINESTRING (37.49316701 55.86674768999999, 37.49271906 55.86681465, 37.49268461 55.86681975)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,31.24,3.7,1,,0.0,0,1.0,100000023,37.49316701,55.86674768999999,100000024,37.49268461,55.86681975
35263,2928636433983938630,46,"LINESTRING (37.49268461 55.86681975, 37.49207788 55.86690964999999, 37.49188802 55.86693618999999)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,51.52,6.2,1,,0.0,0,1.0,100000024,37.49268461,55.86681975,100000025,37.49188802,55.86693618999999
35263,2349800927743959159,47,"LINESTRING (37.49188802 55.86693618999999, 37.49131824 55.866988320000004, 37.49130479 55.86698930000001)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,36.98,4.4,1,,0.0,0,1.0,100000025,37.49188802,55.86693618999999,100000095,37.49130479,55.86698930000001
35263,2349801022233239671,48,"LINESTRING (37.49130479 55.86698930000001, 37.49007261 55.86707889, 37.48920391 55.86710389000001, 37.4879921 55.86709552, 37.48634104 55.86703894999998, 37.48540883 55.86701372999998)",115,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,370.0,44.4,1,POINT (37.49047802 55.86710975),0.0008333279393956215,0,1.0,100000095,37.49130479,55.86698930000001,100000096,37.48540883,55.86701372999998
35263,2349840457469781645,49,"LINESTRING (37.48540883 55.86701372999998, 37.48475673 55.86698686, 37.48446679 55.86697182, 37.48443564 55.866970349999995)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,61.1,7.3,1,,0.0,0,1.0,100000096,37.48540883,55.86701372999998,100000097,37.48443564,55.866970349999995
35263,2887019376175275317,50,"LINESTRING (37.48443564 55.866970349999995, 37.48426139 55.8669621, 37.48026115 55.86683282999999, 37.47988593 55.86681841, 37.47932998 55.866791080000006, 37.4792644 55.86678567)",116,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,324.35,38.9,1,POINT (37.48359044 55.86701267),0.0008434117857907227,0,1.0,100000097,37.48443564,55.866970349999995,100000098,37.4792644,55.86678567
35263,2928025792713662534,51,"LINESTRING (37.4792644 55.86678567, 37.47917277 55.86677809999999, 37.47901078 55.866758989999994, 37.47871895 55.86671672)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,35.02,4.2,1,,0.0,0,1.0,100000098,37.4792644,55.86678567,100000099,37.47871895,55.86671672
35263,2928026007462027334,52,"LINESTRING (37.47871895 55.86671672, 37.47807272 55.866625559999996, 37.4775371 55.866510690000005, 37.47723149 55.8664218, 37.47694473 55.86632537999999, 37.47677841 55.86625648, 37.47666876000001 55.866211220000004, 37.47664318 55.86619976, 37.47664187 55.86619906999999)",0,512.4,894.3,620.0,765.3,90,"""Метро """"Войковская"""" - Метро """"Речной вокзал""""""",А,143.63,17.2,1,,0.0,0,1.0,100000099,37.47871895,55.86671672,100000100,37.47664187,55.86619906999999
